diagnostic,value,notes,last_updated
core_poll_count,4,Number of rows used in the core polling average.,2026-05-19
effective_poll_count,3.866989415627689,Cluster-adjusted effective count after same-pollster downweighting.,2026-05-19
weighted_massie_margin_points,-4.161815994116762,Positive means Massie lead; negative means Gallrein lead.,2026-05-19
weighted_pollster_dispersion_points,4.136031150378266,Weighted standard deviation across core poll margins.,2026-05-19
average_core_pollster_reliability_weight,0.8894361681720044,Weighted average explicit pollster reliability multiplier used in poll weights.,2026-05-19
average_core_source_verification_weight,0.9673411202600805,Weighted average row-level direct-source vs aggregator-source multiplier.,2026-05-19
latest_core_poll_release_date,2026-05-19,Latest public core poll release date in the snapshot.,2026-05-19
