year,total_votes,massie_vote_share_pct,rep_registered,rep_share_pct,total_registered,gop_primary_turnout_rate_pct,turnout_environment_call,notes,last_updated
2020,84683,81.0,295598,47.6,620504,28.64802874173709,higher_turnout_primary,Official KY-04 Republican primary turnout divided by official KY-04 Republican registration snapshot for the same cycle.,2026-05-19
2022,66874,75.2,306623,49.5,619460,21.809844662663924,higher_turnout_primary,Official KY-04 Republican primary turnout divided by official KY-04 Republican registration snapshot for the same cycle.,2026-05-19
2024,52593,75.9,310696,50.6,614307,16.927478950485362,lower_turnout_primary,Official KY-04 Republican primary turnout divided by official KY-04 Republican registration snapshot for the same cycle.,2026-05-19
