snapshot_date,cycle_year,geography,dem_registered,rep_registered,other_registered,total_registered,rep_share_pct,source_quality,source_url,notes
2020-06-04,2020,KY-04,253017,295598,71889,620504,47.6,official_registration_snapshot,https://elect.ky.gov/Resources/Documents/voterstats-20200604-144947.xls,"Official Kentucky registration snapshot near the delayed 2020 primary; used to benchmark contested GOP primary turnout against registered Republicans in KY-04."
2022-04-27,2022,KY-04,237352,306623,75485,619460,49.5,official_registration_snapshot,https://elect.ky.gov/Resources/Documents/voterstats-20220427-100328.xls,"Official Kentucky primary registration snapshot for the 2022 primary electorate in the 4th Congressional District."
2024-05-01,2024,KY-04,223511,310696,80100,614307,50.6,official_registration_snapshot,https://elect.ky.gov/Resources/Documents/voterstats-May%20Primary%202024.xls,"Official Kentucky primary registration snapshot for the 2024 primary electorate in the 4th Congressional District."
2026-04-24,2026,KY-04,205372,311007,83940,600319,51.8,official_registration_snapshot,https://elect.ky.gov/Resources/Documents/voterstats-May%20Primary%202026.xls,"Official Kentucky primary registration snapshot for the May 19, 2026 primary electorate in the 4th Congressional District."
